"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1830583497800749525","Mon Sep 02 12:28:11 +0000 2024","1","Wacana menggratiskan Jakarta Internasional Stadion (JIS) bagi tim sepak bola Persija Jakarta seperti yang dikemukakan salah seorang cagub Jakarta Dharma Pongrekun mendapat respons dari kandidat lain. Salah satunya direspons bakal Calon Gubernur Jakarta Rano Karno atau si https://t.co/h1M9dxzQXK","1830583497800749525","https://pbs.twimg.com/ext_tw_video_thumb/1830583180883288064/pu/img/X5FIWZY6rb7n9-c9.jpg","","in","Pulo Gadung, Indonesia","0","0","2","https://x.com/tvOneNews/status/1830583497800749525","55507370","tvOneNews"
"1830576405702164655","Mon Sep 02 12:00:00 +0000 2024","0","Strategi Dharma Pongrekun Menangkan Pilkada Jakarta Dorong Relawan Bergerak Sendiri #PilkadaJakarta2024 https://t.co/slFOhXgeGt","1830576405702164655","","","in","Jakarta","0","0","0","https://x.com/Kilat_com/status/1830576405702164655","174631261","Kilat_com"
"1830574439823802380","Mon Sep 02 11:52:11 +0000 2024","0","Pilih yg ber KTP Jakarta......Kritik Rencana Ridwan Kamil Ubah Jakarta Utara Jadi Dubai Dharma Pongrekun: Kepentingan Siapa? https://t.co/ny3A2EXc6T","1830574439823802380","","","in","","0","0","0","https://x.com/agungtriat53466/status/1830574439823802380","1754796187893514240","agungtriat53466"
"1830487335257174469","Mon Sep 02 11:12:11 +0000 2024","0","@kegblgnunfaedh Gas pilih Pak Dharma Pongrekun spy jd Gub. Biar kasih pelajaran ke partai2 korup. Kita menangkan yg independen2","1830564371539644873","","kegblgnunfaedh","in","","0","0","0","https://x.com/Lightcross/status/1830564371539644873","56192012","Lightcross"
"1830557625278505403","Mon Sep 02 10:45:22 +0000 2024","0","Dharma pongrekun","1830557625278505403","","","in","","0","0","0","https://x.com/Gyr332/status/1830557625278505403","793823723509788673","Gyr332"
"1830553352402522600","Mon Sep 02 10:28:24 +0000 2024","0","Tiga pasangan calon yang telah mendaftar ke KPU DKI Jakarta adalah Pramono Anung-Rano Karno Ridwan Kamil-Suswono dan Dharma Pongrekun-Kun Wardana. #kpujakarta #pilkadajakarta #pilgubjakarta #ridwankamil #suswono #pramonoanung #ranokarno #dharmapongrekun #kunwardana","1830553355271516527","","Metro_TV","in","","0","0","0","https://x.com/Metro_TV/status/1830553355271516527","57261519","Metro_TV"
"1830444581240148455","Mon Sep 02 10:16:59 +0000 2024","0","@CakKhum ada lord dharma pongrekun","1830550483020505210","","CakKhum","in","","0","0","0","https://x.com/irjam0001/status/1830550483020505210","159301691","irjam0001"
"1830543079960653935","Mon Sep 02 09:47:34 +0000 2024","0","[BP] Kritik Rencana Ridwan Kamil Ubah Jakarta Utara Jadi Dubai Dharma Pongrekun: Kepentin https://t.co/pBmKAvkT94","1830543079960653935","","","in","your latest news update ","0","0","0","https://x.com/BP_Kaskus/status/1830543079960653935","479673612","BP_Kaskus"
"1830536978045280751","Mon Sep 02 09:23:19 +0000 2024","1","Pasangan calon independen Dharma Pongrekun dan Kun Wardhana di Pilgub DKI Jakarta 2024 menegaskan tidak punya uang melimpah termasuk untuk blusukan. Dharma menegaskan dirinya adalah calon gubernur independen bukan diusung partai politik (parpol) manapun. Oleh karena itu ia https://t.co/vSMjfrPcOg","1830536978045280751","https://pbs.twimg.com/media/GWdfrSGaIAAJ916.jpg","","in","","0","2","1","https://x.com/inilahdotcom/status/1830536978045280751","46693036","inilahdotcom"
"1828684148984480202","Mon Sep 02 09:17:03 +0000 2024","0","@everyoneislier @kemgelapan kombo maut -Dharma pongrekun jendral bintang 3 peraih Adhi Makayasa -Dr. Ir. Raden Kun Wardana Abyoto M.T. mendapat julukan mini einstein","1830535399837765844","","everyoneislier","in","","0","0","0","https://x.com/Mitologikal/status/1830535399837765844","1647195328767201280","Mitologikal"
"1830532951421128889","Mon Sep 02 09:07:19 +0000 2024","1","Tak Ambil Pusing Soal Diragukan Masyarakat Bacagub Jakarta Dharma Pongrekun: Kekuatan Tuhan akan Membuat Orang Sadar: Bakal Calon Gubernur Jakarta jalur independen Dharma Pongrekun tak ingin ambil pusing soal keraguan masyarakat terhadap dirinya yang https://t.co/bhlxGSg7g5 https://t.co/28fpeeiq9Z","1830532951421128889","https://pbs.twimg.com/media/GWdcBMrbkAALVoH.jpg","","in","Pulo Gadung, Indonesia","0","1","0","https://x.com/tvOneNews/status/1830532951421128889","55507370","tvOneNews"
"1830160469656813990","Mon Sep 02 08:54:38 +0000 2024","0","@TriCahyyow @kemgelapan dan terjadi plot twist di 2029 Dharma pongrekun duet dengan Mardigu menang pilpres mengalahkan Wowo","1830529757865558473","","TriCahyyow","in","","0","0","0","https://x.com/Mitologikal/status/1830529757865558473","1647195328767201280","Mitologikal"
"1830488417987170469","Mon Sep 02 08:32:18 +0000 2024","2","@MafiaWasit Jelas pilih Dharma pongrekun #JakartaSkizo https://t.co/gxDnejYNjq","1830524135317045643","https://pbs.twimg.com/ext_tw_video_thumb/1830524106737176576/pu/img/49LjXQdF1q3_B3MV.jpg","MafiaWasit","in","Jaksel","0","0","0","https://x.com/akunbuzzers/status/1830524135317045643","1683090852980334592","akunbuzzers"
"1830512943425065102","Mon Sep 02 07:47:49 +0000 2024","0","Dharma Pongrekun: Kami Bukan Partai Silakan Masyarakat Kampanye untuk Kami https://t.co/Cy5poglQVZ lewat @YouTube","1830512943425065102","","","in","Jl Sungai Raya Dalam Kubu Raya","0","0","0","https://x.com/tribunpontianak/status/1830512943425065102","115936810","tribunpontianak"
"1830444581240148455","Mon Sep 02 07:44:26 +0000 2024","0","@CakKhum All In Dharma Pongrekun ","1830512089426960481","","CakKhum","in","Jakarta Capital Region","0","0","0","https://x.com/MuhammdNur_/status/1830512089426960481","173415353","MuhammdNur_"
"1830508785166868923","Mon Sep 02 07:31:18 +0000 2024","0","Pilih Dharma Pongrekun yg minim potensi mudaratnya","1830508785166868923","","","in","Bangui, Ilocos Region","0","0","0","https://x.com/wasl1902/status/1830508785166868923","1131542680977100805","wasl1902"
"1830444581240148455","Mon Sep 02 07:22:26 +0000 2024","0","@CakKhum Menangkan Dharma Pongrekun","1830506556506710226","","CakKhum","in","","0","0","0","https://x.com/Tyago0190634038/status/1830506556506710226","1777500622427951104","Tyago0190634038"
"1830499158060609952","Mon Sep 02 06:53:02 +0000 2024","0","Video: Dharma Pongrekun: Tata Kota Jakarta Akan di Desain Ulang - CNBC Indonesia https://t.co/JwvojM2yTC","1830499158060609952","","","in","","0","0","0","https://x.com/RelawanMonas/status/1830499158060609952","2278449764","RelawanMonas"
"1830498728274223229","Mon Sep 02 06:51:20 +0000 2024","0","[BP] Dharma Pongrekun Ingin Gratiskan JIS untuk Jakmania Rano Karno: Nggak Mungkin https://t.co/0OdEZoL003","1830498728274223229","","","in","your latest news update ","0","0","0","https://x.com/BP_Kaskus/status/1830498728274223229","479673612","BP_Kaskus"
"1830488417987170469","Mon Sep 02 06:10:22 +0000 2024","161","Jadi Jakmania milih Pramono Anung Ridwan Kamil atau Komjen Pol (purn) Dharma Pongrekun? https://t.co/Asa4TByboc","1830488417987170469","https://pbs.twimg.com/media/GWczgt-XMAARr0W.jpg","","in","Ngadi King of The South","0","29","8","https://x.com/MafiaWasit/status/1830488417987170469","2794327166","MafiaWasit"
"1830292670427861506","Mon Sep 02 05:54:58 +0000 2024","0","@arjunaskykok Wkkwwk kalo Dharma Pongrekun turunkan Coki aja cocok kaya interview Sang Sunda Empire ","1830484544589566432","","arjunaskykok","in","Slovak Republic","0","0","0","https://x.com/JKoendji/status/1830484544589566432","1268172882846248960","JKoendji"
"1830480214591254688","Mon Sep 02 05:37:46 +0000 2024","0","Pertama kali denger nama Dharma Pongrekun kirain doi org Thailand","1830480214591254688","","","in","Bikini Bottom","0","0","0","https://x.com/MilanOutLoud/status/1830480214591254688","1498733456","MilanOutLoud"
"1830465561387823269","Mon Sep 02 04:39:32 +0000 2024","1","Dharma Pongrekun tak akan kampanye minta masyarakat bergerak dan kampanye untuknya. Kami independen polanya beda tegasnya. https://t.co/1aQJJ6XXor","1830465561387823269","","","in","Jakarta","0","3","0","https://x.com/kompascom/status/1830465561387823269","23343960","kompascom"
"1830461241107894550","Mon Sep 02 04:22:22 +0000 2024","12","Penyefonk Mulyono dan elite2nya beradu halu dengan Dharma Pongrekun https://t.co/CQjZFRkDgS","1830461241107894550","https://pbs.twimg.com/ext_tw_video_thumb/1654362702981267459/pu/img/vwzeiTZ65y06LB6z.jpg","","in","","0","1","1","https://x.com/tsaytsrxf4369/status/1830461241107894550","1399877668326109185","tsaytsrxf4369"
"1830456929979973757","Mon Sep 02 04:05:15 +0000 2024","0","Ridwan Kamil Berencana Ubah Jakarta Utara seperti Dubai Dharma Pongrekun: Saya Sudah Paham Kepentingan Siapa: Bakal calon gubernur Jakarta jalur independen Dharma Pongrekun memberikan komentarnya soal niat Ridwan Kamil membangun Jakarta Utara seperti https://t.co/iUWWg4oUhq https://t.co/1M5rQW3VCx","1830456929979973757","https://pbs.twimg.com/media/GWcW4NvaMAAICM1.jpg","","in","Pulo Gadung, Indonesia","0","1","1","https://x.com/tvOneNews/status/1830456929979973757","55507370","tvOneNews"
"1830456901215338963","Mon Sep 02 04:05:08 +0000 2024","0","Dharma Pongrekun Strategi Kampanye Independen Pilkada Jakarta: Polanya Berbeda Dengan Partai Politik https://t.co/ZHEMBP1Wer","1830456901215338963","","","in","Indonesia","0","1","0","https://x.com/KompasTV/status/1830456901215338963","71436318","KompasTV"
"1830455766064771074","Mon Sep 02 04:00:37 +0000 2024","1","In Dharma Pongrekun We Trust ALL IN!!! Jika kandidat pilkadanya boneka semua pilih boneka yang paling lucu!","1830455766064771074","","","in","","0","0","0","https://x.com/thewoodenlungs/status/1830455766064771074","88423103","thewoodenlungs"
"1830451383868547336","Mon Sep 02 03:43:12 +0000 2024","3","Kontestasi pemilihan kepala daerah resmi dimulai! Di Jakarta tiga paslon siap bersaing memperebutkan kursi gubernur dan wakil gubernur. Dharma Pongrekun - Kun Wardhana paslon yang mendaftar melalui jalur independen. Kemudian Pramono Anung - Rano Karno paslon yang diusung oleh","1830451383868547336","","","in","Indonesia","0","1","0","https://x.com/KompasTV/status/1830451383868547336","71436318","KompasTV"
"1830448087556559217","Mon Sep 02 03:30:06 +0000 2024","5","Video: Dharma Pongrekun: Tata Kota Jakarta Akan di Desain Ulang https://t.co/NbtN3a0OAY","1830448087556559217","","","in","Jakarta Capital Region","4","5","2","https://x.com/cnbcindonesia/status/1830448087556559217","847372542830444544","cnbcindonesia"
"1830261680498221315","Mon Sep 02 03:24:20 +0000 2024","0","@H4T14K4LN4L42 Waktu sudah habis @dharmapongrekun","1830446633878000041","","H4T14K4LN4L42","in","jakarta","0","1","0","https://x.com/bahar_170688/status/1830446633878000041","2316756462","bahar_170688"
"1830434359389655075","Mon Sep 02 02:35:33 +0000 2024","0","Dharma Pongrekun mempertanyakan rencana Ridwan Kamil mengubah Jakarta Utara seperti Dubai. Kata dia kepentingan siapa? https://t.co/s7fT8cA578","1830434359389655075","","","in","Jakarta","1","8","0","https://x.com/kompascom/status/1830434359389655075","23343960","kompascom"
"1830430444325838902","Mon Sep 02 02:20:00 +0000 2024","136","Dharma Pongrekun meminta warga berkampanye untuknya di Pilgub Jakarta 2024. Menurutnya pola kampanye pasangan independen berbeda dengan yang diusung parpol. #detikPilkada https://t.co/pdK6FiBQf8","1830430444325838902","","","in","","29","149","10","https://x.com/detikcom/status/1830430444325838902","69183155","detikcom"
"1830427630610305336","Mon Sep 02 02:08:49 +0000 2024","103","Bakal calon gubernur Jakarta Ridwan Kamil mewacanakan pembangunan di bagian utara Jakarta seperti Dubai. Terkait hal itu Dharma Pongrekun mengaku heran dan mempertanyakan untuk siapa pembangunan itu dibuat. #newsupdate #update #news #quote https://t.co/rYaPNgrO1T https://t.co/YiEW5VjNa9","1830427630610305336","https://pbs.twimg.com/media/GWb8EfEX0AAHMNO.jpg","","in","","20","31","16","https://x.com/kumparan/status/1830427630610305336","759692754985242625","kumparan"
"1830425010722505210","Mon Sep 02 01:58:24 +0000 2024","0","Mundur? Lu maju dong. Dharma Pongrekun yang katanya boneka aja maju independen dan bisa. Kenapa lu yang bukan boneka idealis memilih cuma koar-koar?","1830425010722505210","","","in","","0","0","1","https://x.com/NimrodSianipar/status/1830425010722505210","1244117818552938496","NimrodSianipar"
